username,role,login_time,logout_time
vivek,Admin,2025-12-18 17:55:49.793400,
vivek,Admin,2025-12-18 18:46:19.355888,
vivek,Admin,2025-12-18 18:52:45.452785,
vivek,Admin,2025-12-18 18:53:05.685497,
vivek,Admin,2025-12-18 18:56:05.133570,
vivek,Admin,2025-12-18 19:00:55.097541,
vivek,Admin,2025-12-18 19:04:57.636841,
vivek,Admin,2025-12-18 19:10:14.305649,
vivek,Admin,2025-12-18 19:12:58.138109,
vivek,Admin,2025-12-18 19:15:37.120818,
vivek,Admin,2025-12-18 19:30:48.861664,
vivek,Admin,2025-12-18 19:32:54.790250,
vivek,Admin,2025-12-18 19:35:21.870846,
vivek,Admin,2025-12-18 19:38:14.803188,
vivek,Admin,2025-12-18 22:23:45.523455,
neha,CHRO,2025-12-18 22:26:22.287342,
neha,CHRO,2025-12-18 22:38:06.928059,
neha,CHRO,2025-12-18 22:42:45.224453,
neha,CHRO,2025-12-18 22:45:23.760836,
neha,CHRO,2025-12-18 22:48:01.755322,
neha,CHRO,2025-12-18 22:51:29.569106,
neha,CHRO,2025-12-19 14:26:54.399745,
neha,CHRO,2025-12-19 16:41:41.945665,
neha,CHRO,2025-12-22 16:35:38.859605,
neha,CHRO,2025-12-22 20:26:33.683588,
neha,CHRO,2025-12-22 20:31:03.427727,
neha,CHRO,2025-12-22 20:38:56.021236,
neha,CHRO,2025-12-22 20:41:37.839826,
neha,CHRO,2025-12-22 20:44:59.665955,
neha,CHRO,2025-12-22 22:52:49.657377,
neha,CHRO,2025-12-22 22:55:01.370669,
neha,CHRO,2025-12-22 22:56:23.822057,
neha,CHRO,2025-12-22 23:04:56.681312,
neha,CHRO,2025-12-22 23:11:21.176303,
neha,CHRO,2025-12-22 23:17:21.606105,
neha,CHRO,2025-12-22 23:21:10.138889,
neha,CHRO,2025-12-22 23:27:48.997527,
neha,CHRO,2025-12-24 13:54:08.931955,
neha,CHRO,2025-12-24 14:03:15.518592,
neha,CHRO,2025-12-27 17:42:34.912175,
neha,CHRO,2025-12-27 17:58:18.140587,
neha,CHRO,2025-12-27 17:59:34.943779,
neha,CHRO,2025-12-27 18:02:04.394153,
neha,CHRO,2025-12-27 18:03:34.583625,
neha,CHRO,2025-12-27 18:10:26.777762,
neha,CHRO,2025-12-27 18:10:43.644249,
neha,CHRO,2025-12-27 18:11:35.314531,
neha,CHRO,2025-12-27 18:30:08.213099,
neha,CHRO,2025-12-27 18:31:17.480807,
neha,CHRO,2025-12-27 18:53:30.684298,
neha,CHRO,2025-12-27 18:54:07.812620,
neha,CHRO,2025-12-27 19:02:25.976171,
neha,CHRO,2025-12-27 19:47:58.495669,
neha,CHRO,2025-12-27 19:50:02.043497,
neha,CHRO,2025-12-27 19:51:42.857517,
neha,CHRO,2025-12-27 20:19:54.338469,
neha,CHRO,2025-12-27 20:26:16.048308,
neha,CHRO,2025-12-27 20:31:58.510381,
neha,CHRO,2025-12-27 20:34:20.859569,
neha,CHRO,2025-12-27 20:50:31.284284,
neha,CHRO,2025-12-27 21:18:38.886849,
neha,CHRO,2025-12-27 21:21:45.756302,
neha,CHRO,2025-12-27 21:24:25.176332,
neha,CHRO,2025-12-27 21:57:21.256901,
neha,CHRO,2025-12-27 22:11:00.095066,
neha,CHRO,2025-12-27 22:13:21.777799,
neha,CHRO,2025-12-27 22:43:45.401169,
